decoder,study_name,accuracy_train,accuracy_test,fold,score,n_sample,weight T-7 C-0,weight T-7 C-1,weight T-7 C-2,weight T-7 C-3,weight T-6 C-0,weight T-6 C-1,weight T-6 C-2,weight T-6 C-3,weight T-5 C-0,weight T-5 C-1,weight T-5 C-2,weight T-5 C-3,weight T-4 C-0,weight T-4 C-1,weight T-4 C-2,weight T-4 C-3,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3,hidden_state T-7,hidden_state T-6,hidden_state T-5,hidden_state T-4,hidden_state T-3,hidden_state T-2,hidden_state T-1
RNN,data_vanBoxtel_2019_Expt2,Incorrect trials,Correct trials,18.0,0.6088794374538201,1138.5675675675675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058765907683787304,0.0765821190198531,0.08311735841168745,0.08621507495440342,0.08735422510653733,0.08705243548831423,0.08568211461140497
RNN,data_vanBoxtel_2019_Expt2,Incorrect trials,Incorrect trials,18.0,0.6431193736531837,1863.337837837838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05752412711169469,0.07533776556217187,0.08414664987877414,0.08601397693761297,0.0869632643998311,0.08826899341609631,0.08921550253305484
regression,data_Bang_2019_Exp1,Correct trials,Correct trials,5.5,0.7428329004585698,2755.6666666666665,-0.0382601418644423,0.022270706441882393,0.06718155265619329,-0.05385051345707031,-0.04160658864852251,0.01488353882645504,0.05698448609032686,-0.034183916026904175,-0.052731790929801826,-0.007268632099109641,0.03788834744201423,0.01010869069151531,-0.06717002294472758,-0.02136270434321055,0.032851033950390046,0.037847875299307825,-0.08226568225541085,-0.039903923358809414,0.001496419427302025,0.0892056232683569,-0.08409918280677775,-0.03207929335175234,-0.0043260804323501925,0.09356459753659463,-0.11903174057306344,-0.08042877002067667,-0.046439038506348174,0.19161731489734402,,,,,,,
regression,data_Bang_2019_Exp1,Correct trials,Incorrect trials,5.5,0.38435300135821593,772.8333333333334,-0.0382601418644423,0.022270706441882393,0.06718155265619329,-0.05385051345707031,-0.04160658864852251,0.01488353882645504,0.05698448609032686,-0.034183916026904175,-0.052731790929801826,-0.007268632099109641,0.03788834744201423,0.01010869069151531,-0.06717002294472758,-0.02136270434321055,0.032851033950390046,0.037847875299307825,-0.08226568225541085,-0.039903923358809414,0.001496419427302025,0.0892056232683569,-0.08409918280677775,-0.03207929335175234,-0.0043260804323501925,0.09356459753659463,-0.11903174057306344,-0.08042877002067667,-0.046439038506348174,0.19161731489734402,,,,,,,
regression,data_Bang_2019_Exp1,Incorrect trials,Correct trials,5.5,0.7428329004585698,2755.6666666666665,-0.0382601418644423,0.022270706441882393,0.06718155265619329,-0.05385051345707031,-0.04160658864852251,0.01488353882645504,0.05698448609032686,-0.034183916026904175,-0.052731790929801826,-0.007268632099109641,0.03788834744201423,0.01010869069151531,-0.06717002294472758,-0.02136270434321055,0.032851033950390046,0.037847875299307825,-0.08226568225541085,-0.039903923358809414,0.001496419427302025,0.0892056232683569,-0.08409918280677775,-0.03207929335175234,-0.0043260804323501925,0.09356459753659463,-0.11903174057306344,-0.08042877002067667,-0.046439038506348174,0.19161731489734402,,,,,,,
regression,data_Bang_2019_Exp1,Incorrect trials,Incorrect trials,5.5,0.38435300135821593,772.8333333333334,-0.0382601418644423,0.022270706441882393,0.06718155265619329,-0.05385051345707031,-0.04160658864852251,0.01488353882645504,0.05698448609032686,-0.034183916026904175,-0.052731790929801826,-0.007268632099109641,0.03788834744201423,0.01010869069151531,-0.06717002294472758,-0.02136270434321055,0.032851033950390046,0.037847875299307825,-0.08226568225541085,-0.039903923358809414,0.001496419427302025,0.0892056232683569,-0.08409918280677775,-0.03207929335175234,-0.0043260804323501925,0.09356459753659463,-0.11903174057306344,-0.08042877002067667,-0.046439038506348174,0.19161731489734402,,,,,,,
regression,data_Bang_2019_Exp2,Correct trials,Correct trials,100.0,0.5781962574199808,140.53731343283582,-0.03972122440642168,-0.03044443425973656,0.0010131107027968674,0.05859597890480631,-0.035694922717008894,-0.018822158217449324,0.00039553936050054796,0.045717072763398175,-0.039422230571588286,-0.030474817236023757,0.008450035924072782,0.0511821597489817,-0.03432481606092615,-0.02630114889133908,-0.004401503311079674,0.055913997802973014,-0.03899946808582097,-0.025527318999078567,-0.0029944898950185553,0.05767464724724477,-0.048799447422624216,-0.028019646760240925,0.0017423076195973062,0.06323076029737683,-0.06768489887385559,-0.03818865268382985,-0.0011550351433554178,0.09066662067365917,,,,,,,
regression,data_Bang_2019_Exp2,Correct trials,Incorrect trials,100.0,0.4931064459004832,52.46268656716418,-0.03972122440642168,-0.03044443425973656,0.0010131107027968674,0.05859597890480631,-0.035694922717008894,-0.018822158217449324,0.00039553936050054796,0.045717072763398175,-0.039422230571588286,-0.030474817236023757,0.008450035924072782,0.0511821597489817,-0.03432481606092615,-0.02630114889133908,-0.004401503311079674,0.055913997802973014,-0.03899946808582097,-0.025527318999078567,-0.0029944898950185553,0.05767464724724477,-0.048799447422624216,-0.028019646760240925,0.0017423076195973062,0.06323076029737683,-0.06768489887385559,-0.03818865268382985,-0.0011550351433554178,0.09066662067365917,,,,,,,
regression,data_Bang_2019_Exp2,Incorrect trials,Correct trials,100.0,0.5781962574199808,140.53731343283582,-0.03972122440642168,-0.03044443425973656,0.0010131107027968674,0.05859597890480631,-0.035694922717008894,-0.018822158217449324,0.00039553936050054796,0.045717072763398175,-0.039422230571588286,-0.030474817236023757,0.008450035924072782,0.0511821597489817,-0.03432481606092615,-0.02630114889133908,-0.004401503311079674,0.055913997802973014,-0.03899946808582097,-0.025527318999078567,-0.0029944898950185553,0.05767464724724477,-0.048799447422624216,-0.028019646760240925,0.0017423076195973062,0.06323076029737683,-0.06768489887385559,-0.03818865268382985,-0.0011550351433554178,0.09066662067365917,,,,,,,
regression,data_Bang_2019_Exp2,Incorrect trials,Incorrect trials,100.0,0.4931064459004832,52.46268656716418,-0.03972122440642168,-0.03044443425973656,0.0010131107027968674,0.05859597890480631,-0.035694922717008894,-0.018822158217449324,0.00039553936050054796,0.045717072763398175,-0.039422230571588286,-0.030474817236023757,0.008450035924072782,0.0511821597489817,-0.03432481606092615,-0.02630114889133908,-0.004401503311079674,0.055913997802973014,-0.03899946808582097,-0.025527318999078567,-0.0029944898950185553,0.05767464724724477,-0.048799447422624216,-0.028019646760240925,0.0017423076195973062,0.06323076029737683,-0.06768489887385559,-0.03818865268382985,-0.0011550351433554178,0.09066662067365917,,,,,,,
